Back,Lưng
Delete,Xóa
"Are you sure you want to do this?","Bạn có chắc chắn muốn làm điều này?"
"Save and Continue Edit","Lưu và tiếp tục chỉnh sửa"
Save,Cứu
ID,ID
Email,Email
Name,Tên
Company,"Công ty"
Conditions,"Điều kiện"
"Apply the rule only if the following conditions are met (leave blank for all products).","Chỉ áp dụng quy tắc nếu đáp ứng các điều kiện sau (để trống cho tất cả các sản phẩm)."
"Add Custom License","Thêm giấy phép tùy chỉnh"
"-- Please Select --","-- Vui lòng chọn --"
"Unable to fetch previous categories.","Không thể tìm nạp các danh mục trước đó."
AM,SÁNG
PM,AM
None,"Không ai"
"You deleted the record.","Bạn đã xóa bản ghi."
"Record does not exist.","Bản ghi không tồn tại."
"This record no longer exists.","Bản ghi này không còn tồn tại."
"Category Edit","Thể loạiChỉnh sửa"
Category,Loại
"Please correct the data sent.","Vui lòng sửa dữ liệu đã gửi."
"There was an error saving the data: ","Đã xảy ra lỗi khi lưu dữ liệu: "
"A total of %1 record(s) have been deleted.","Tổng cộng (các) bản ghi %1 đã bị xóa."
"You saved this record.","Bạn đã lưu bản ghi này."
"Something went wrong while saving the record.","Đã xảy ra sự cố trong khi lưu hồ sơ."
"Category Identifier","Định danh danh mục"
"To apply changes you should fill in required ""%1"" field","Để áp dụng các thay đổi, bạn nên điền vào trường ""%1"" bắt buộc"
"Size Edit","Kích thước Chỉnh sửa"
Size,"Kích thước"
"Size Identifier","Mã định danh kích thước"
"Usage Edit","Sử dụng Chỉnh sửa"
Usage,"Sử dụng"
"Usage Identifier","Mã định danh sử dụng"
"Could not save the category: %1","Không thể lưu thể loại: %1"
"Category with id ""%1"" does not exist.","Danh mục có id ""%1"" không tồn tại."
"Could not delete the Category: %1","Không thể xóa Thể loại:%1"
"Could not save the size: %1","Không thể lưu kích thước: %1"
"Size with id ""%1"" does not exist.","Kích thước với id ""%1"" không tồn tại."
"Could not delete the Size: %1","Không thể xóa Kích thước: %1"
"The option type to get group instance is incorrect.","Loại tùy chọn để lấy phiên bản nhóm không chính xác."
"Select type options required values rows.","Chọn loại, tùy chọn, giá trị bắt buộc, hàng."
"usage_id should be specified","usage_id nên được chỉ định"
"Could not remove custom option","Không thể loại bỏ tùy chọn tùy chỉnh"
"Please specify date required option(s).","Vui lòng chỉ định (các) tùy chọn ngày bắt buộc."
"Please specify time required option(s).","Vui lòng chỉ định (các) tùy chọn thời gian cần thiết."
"Please specify product's required option(s).","Vui lòng nêu rõ (các) tùy chọn bắt buộc của sản phẩm."
"The option instance type in options group is incorrect.","Loại phiên bản tùy chọn trong nhóm tùy chọn không chính xác."
"The product instance type in options group is incorrect.","Loại phiên bản sản phẩm trong nhóm tùy chọn không chính xác."
"The configuration item option instance in options group is incorrect.","Phiên bản tùy chọn mục cấu hình trong nhóm tùy chọn không chính xác."
"The configuration item instance in options group is incorrect.","Phiên bản mục cấu hình trong nhóm tùy chọn không chính xác."
"The BuyRequest instance in options group is incorrect.","Phiên bản BuyRequest trong nhóm tùy chọn không chính xác."
"We can't add the product to the cart because of an option validation issue.","Chúng tôi không thể thêm sản phẩm vào giỏ hàng do sự cố xác thực tùy chọn."
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","%1 không mở rộng \Magento\Catalog\Model\Product\Option\Type\DefaultType"
"The file options format is not valid.","Định dạng tùy chọn tệp không hợp lệ."
px.,Px.
"The file '%1' for '%2' has an invalid extension.","Tệp '%1' cho '%2' có phần mở rộng không hợp lệ."
"The maximum allowed image size for '%1' is %2x%3 px.","Kích thước hình ảnh tối đa cho phép cho '%1' là %2x%3 px."
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","Tệp '%1' bạn đã tải lên lớn hơn %2 megabyte được máy chủ của chúng tôi cho phép."
"The file '%1' is empty. Please choose another one","Tệp '%1' trống. Vui lòng chọn một cái khác"
"The file '%1' is invalid. Please choose another one","Tệp '%1' không hợp lệ. Vui lòng chọn một cái khác"
"File '%1' is not an image.","Tệp '%1' không phải là hình ảnh."
"Validation failed. Required options were not filled or the file was not uploaded.","Xác thực không thành công. Các tùy chọn bắt buộc không được điền hoặc tệp không được tải lên."
"The file you uploaded is larger than %1 Megabytes allowed by server","Tệp bạn đã tải lên lớn hơn %1 Megabyte được máy chủ cho phép"
"Option required.","Tùy chọn cần thiết."
"The file is empty. Please choose another one","Tệp trống. Vui lòng chọn một cái khác"
"Some of the selected item options are not currently available.","Một số tùy chọn mục đã chọn hiện không khả dụng."
"Could not save the usageCustomer: %1","Không thể lưu mức sử dụngKhách hàng: %1"
"UsageCustomer with id ""%1"" does not exist.","Cách sử dụngKhách hàng có id ""%1"" không tồn tại."
"Could not delete the UsageCustomer: %1","Không thể xóa UsageCustomer: %1"
"Could not save the usage: %1","Không thể lưu mức sử dụng: %1"
"Usage with id ""%1"" does not exist.","Cách sử dụng với id ""%1"" không tồn tại."
"Could not delete the Usage: %1","Không thể xóa Sử dụng: %1"
"Unable to attach licenses to customer %s","Không thể đính kèm giấy phép vào %s của khách hàng"
"You cannot add this item to your cart because this
                                custom license can only be used %1 time(s)","Bạn không thể thêm mặt hàng này vào giỏ hàng của mình vì điều này
                                Giấy phép tùy chỉnh chỉ có thể được sử dụng %1 lần"
"Max Usage","Sử dụng tối đa"
"Usage Options","Tùy chọn sử dụng"
Preview.,Download.
"Usage options provide more details about how an image will be used.","Tùy chọn sử dụng cung cấp thêm chi tiết về cách hình ảnh sẽ được sử dụng."
"Add Option","Thêm tùy chọn"
"New Option","Tùy chọn mới"
"Option Title","Tiêu đề tùy chọn"
"Help Text","Văn bản trợ giúp"
"Add Value","Thêm giá trị"
Title,"Tiêu đề"
"Option Type","Loại tùy chọn"
"-- Please select --","-- Vui lòng chọn --"
Required,"Bắt buộc"
Price,Giá
"Price Type","Loại giá"
"Image Size","Kích thước hình ảnh"
Edit,"Biên tập"
"Only Custom Usages are supported","Chỉ hỗ trợ Sử dụng Tùy chỉnh"
"We offer important volume <b>licensing discounts</b>.","Chúng tôi cung cấp <b>chiết khấu cấp phép số</b> lượng lớn quan trọng."
"Have questions? Call %1 and ask for custom quote.","Bạn có thắc mắc? Gọi %1 và yêu cầu báo giá tùy chỉnh."
"We will work with your budget.","Chúng tôi sẽ làm việc với ngân sách của bạn."
Availability,"Sẵn sàng"
"In stock","Trong kho"
"Out of stock","Hết hàng"
Change,"Thay đổi"
"Compatible file extensions to upload","Phần mở rộng tệp tương thích để tải lên"
"Maximum image width","Chiều rộng hình ảnh tối đa"
"Maximum image height","Chiều cao hình ảnh tối đa"
"less info","Ít thông tin hơn"
"more info","Thêm thông tin"
"License Image is a type of “renting” of an image for a specific use; examples include licensing an image for the cover of a book, an illustration for a magazine article, or use of an image in an evangelistic handbill.","Hình ảnh giấy phép là một loại hình ""thuê"" hình ảnh cho một mục đích sử dụng cụ thể; Ví dụ như cấp phép một hình ảnh cho bìa của một cuốn sách, một minh họa cho một bài báo trên tạp chí hoặc sử dụng một hình ảnh trong một tờ giấy truyền giáo."
"License Image","Hình ảnh giấy phép"
"Download - price based on use.","Tải xuống - giá dựa trên việc sử dụng."
Close,Đóng
"License Pricing Calculator","Máy tính giá giấy phép"
"Select options from the drop down menu to calculate a price to use this image.","Chọn các tùy chọn từ menu thả xuống để tính giá sử dụng hình ảnh này."
"Choose Category","Chọn danh mục"
"Choose a category to see the specific usages available.","Chọn một danh mục để xem các cách sử dụng cụ thể có sẵn."
"Previous Usage","Sử dụng trước"
"Choose a previous calculation from your order history.","Chọn một phép tính trước đó từ lịch sử đặt hàng của bạn."
"Specific Usage","Cách sử dụng cụ thể"
"Choose the usage which best describes how you intend to use the image.","Chọn cách sử dụng mô tả chính xác nhất cách bạn định sử dụng hình ảnh."
"Go to <a href=""%1"">My Downloadable Products</a>","Đi tới <a href=""%1"">Sản phẩm có thể tải xuống của tôi</a>"
"Incl. Tax","Bao gồm thuế"
"Total Incl. Tax","Tổng cộng đã bao gồm thuế"
"Excl. Tax","Không bao gồm thuế"
Total,"Tất cả"
"Downloadable Products","Sản phẩm có thể tải xuống"
"Order #","Trật tự #"
Date,Ngày
Status,"Tình trạng"
"Remaining Downloads","Các bản tải xuống còn lại"
"View Order","Xem đơn hàng"
"Start Download","Bắt đầu tải xuống"
"You have not purchased any downloadable products yet.","Bạn chưa mua bất kỳ sản phẩm có thể tải xuống nào."
SKU,SKU
download,"tải xuống"
"Gift Message","Thông điệp quà tặng"
From:,Từ:
To:,Đến:
Message:,"Thông điệp:"
"Product Name","Tên sản phẩm"
Qty,Qty
Subtotal,"Tổng phụ"
"Discount Amount","Số tiền chiết khấu"
"Row Total","Tổng số hàng"
"Qty Invoiced","Số lượng hóa đơn"
Ordered,Lệnh
Shipped,"Vận chuyển"
Canceled,"Bị hủy bỏ"
Refunded,"Hoàn tiền"
"Add Bulk Products","Thêm sản phẩm số lượng lớn"
Calculator,"Máy tính"
"DevStone Extensions","Tiện ích mở rộng DevStone"
"Usage Calculator","Máy Tính Sử Dụng"
General,"Tổng quát"
"Custom Category","Danh mục tùy chỉnh"
"select the custom category","Chọn danh mục tùy chỉnh"
"This field is going to be used for Custom License","Trường này sẽ được sử dụng cho Giấy phép Tùy chỉnh"
"Category Form","Biểu mẫu danh mục"
"Main Information","Thông tin chính"
"Add New Category","Thêm danh mục mới"
"Delete items","Xóa mục"
"Are you sure you wan't to delete selected items?","Bạn có chắc chắn rằng bạn không muốn xóa các mục đã chọn không?"
Terms,"Điều kiện"
"Size Form","Hình thức kích thước"
Active,"Hoạt động"
Inactive,"Không hoạt động"
"Add New Size","Thêm kích thước mới"
Code,Mã
"Max Width","Chiều rộng tối đa"
"Max Height","Chiều cao tối đa"
"Usage Form","Hình thức sử dụng"
"Can be free","Có thể miễn phí"
No,Không
Yes,Có
"Add future customer email","Thêm email khách hàng trong tương lai"
"Add Email","Thêm email"
"Add New Usage","Thêm cách sử dụng mới"
